4	4
0	0	0.0810956135392189
1	0	0.0579193010926247
2	0	0.0636542588472366
3	0	0.0536116622388363
0	1	0.0644270926713943
1	1	0.0408879034221172
2	1	0.0440664663910866
3	1	0.0438852831721306
0	2	0.0806231647729874
1	2	0.0625251382589340
2	2	0.0359210409224033
3	2	0.0446708090603352
0	3	0.0653132498264313
1	3	0.0561401434242725
2	3	0.0541977919638157
3	3	0.0511843413114548
